Project Name,Package Name,Type Name,Code Smell
BulletJournal,com.bulletjournal.clients,UserClientTests,Unutilized Abstraction
BulletJournal,com.bulletjournal.clients,ESClient,Unutilized Abstraction
BulletJournal,com.bulletjournal.clients,PickAvatarParams,Unutilized Abstraction
BulletJournal,com.bulletjournal.clients,GoogleMapsClient,Unutilized Abstraction
BulletJournal,com.bulletjournal.clients,CreateTopicParams,Unutilized Abstraction
BulletJournal,com.bulletjournal.clients,UserClient,Deficient Encapsulation
BulletJournal,com.bulletjournal.clients,UserClient,Cyclic-Dependent Modularization
BulletJournal,com.bulletjournal.repository.utils,DaoHelperTest,Unutilized Abstraction
BulletJournal,com.bulletjournal.repository.utils,RecurrenceRuleTest,Unutilized Abstraction
BulletJournal,com.bulletjournal.repository.utils,BookingLinkConverter,Unnecessary Abstraction
BulletJournal,com.bulletjournal.repository.utils,BookingLinkConverter,Unutilized Abstraction
BulletJournal,com.bulletjournal.repository.utils,GoogleCalendarDataStore,Unutilized Abstraction
BulletJournal,com.bulletjournal.repository.utils,StringArrayType,Deficient Encapsulation
BulletJournal,com.bulletjournal.repository.utils,LongArrayType,Deficient Encapsulation
BulletJournal,com.bulletjournal.repository.utils,StringArrayTypeDescriptor,Deficient Encapsulation
BulletJournal,com.bulletjournal.repository.utils,LongArrayTypeDescriptor,Deficient Encapsulation
BulletJournal,com.bulletjournal.repository.utils,GoogleCalendarDataStoreFactory,Unutilized Abstraction
BulletJournal,com.bulletjournal.repository.utils,DaoHelper,Cyclic-Dependent Modularization
BulletJournal,com.bulletjournal.hierarchy,TaskRelationsProcessor,Cyclic-Dependent Modularization
BulletJournal,com.bulletjournal.hierarchy,HierarchyItem,Deficient Encapsulation
BulletJournal,com.bulletjournal.hierarchy,HierarchyProcessor,Deficient Encapsulation
BulletJournal,com.bulletjournal.hierarchy,ProjectRelationsProcessor,Cyclic-Dependent Modularization
BulletJournal,com.bulletjournal.util,DeltaContentTest,Unutilized Abstraction
BulletJournal,com.bulletjournal.util,ContentDiffToolTest,Unutilized Abstraction
BulletJournal,com.bulletjournal.util,DeltaConverterTest,Unutilized Abstraction
BulletJournal,com.bulletjournal.util,StringUtil,Deficient Encapsulation
BulletJournal,com.bulletjournal.util,CustomThreadFactory,Unutilized Abstraction
BulletJournal,com.bulletjournal.util,EmojiRuleProvider,Unnecessary Abstraction
BulletJournal,com.bulletjournal.util,EmojiRuleProvider,Deficient Encapsulation
BulletJournal,com.bulletjournal.util,DeltaContent,Deficient Encapsulation
BulletJournal,com.bulletjournal.util,WebToMobile,Unutilized Abstraction
BulletJournal,com.bulletjournal.redis.models,EtagTypeTest,Unutilized Abstraction
BulletJournal,com.bulletjournal.redis.models,UserAliases,Unutilized Abstraction
BulletJournal,com.bulletjournal.redis.models,BankAccountBalance,Unutilized Abstraction
BulletJournal,com.bulletjournal.redis.models,FirstTimeUser,Unutilized Abstraction
BulletJournal,com.bulletjournal.controller,TaskControllerTest,Unutilized Abstraction
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,Unutilized Abstraction
BulletJournal,com.bulletjournal.controller,BankAccountControllerTest,Unutilized Abstraction
BulletJournal,com.bulletjournal.controller,GoogleCalendarControllerTest,Unutilized Abstraction
BulletJournal,com.bulletjournal.controller,ProjectControllerTest,Unutilized Abstraction
BulletJournal,com.bulletjournal.controller,ProjectControllerTest,Insufficient Modularization
BulletJournal,com.bulletjournal.controller,UserControllerTest,Unutilized Abstraction
BulletJournal,com.bulletjournal.controller,TransactionControllerTest,Unutilized Abstraction
BulletJournal,com.bulletjournal.controller,BookingLinkControllerTest,Unutilized Abstraction
BulletJournal,com.bulletjournal.controller,DeviceControllerTest,Unutilized Abstraction
BulletJournal,com.bulletjournal.controller,SystemControllerTest,Unutilized Abstraction
BulletJournal,com.bulletjournal.controller,QueryControllerTest,Unutilized Abstraction
BulletJournal,com.bulletjournal.controller,RateFilterTest,Unutilized Abstraction
BulletJournal,com.bulletjournal.controller,AdminController,Unutilized Abstraction
BulletJournal,com.bulletjournal.controller,AdminController,Deficient Encapsulation
BulletJournal,com.bulletjournal.controller,NoteController,Insufficient Modularization
BulletJournal,com.bulletjournal.controller,ProjectItemController,Deficient Encapsulation
BulletJournal,com.bulletjournal.controller,TaskController,Deficient Encapsulation
BulletJournal,com.bulletjournal.controller,TaskController,Insufficient Modularization
BulletJournal,com.bulletjournal.controller,SystemController,Deficient Encapsulation
BulletJournal,com.bulletjournal.controller,FileController,Unutilized Abstraction
BulletJournal,com.bulletjournal.controller,GoogleCalendarController,Deficient Encapsulation
BulletJournal,com.bulletjournal.controller,TransactionController,Insufficient Modularization
BulletJournal,com.bulletjournal.controller,BookingLinksController,Deficient Encapsulation
BulletJournal,com.bulletjournal.controller,PaymentController,Unutilized Abstraction
BulletJournal,com.bulletjournal.controller,GroupController,Deficient Encapsulation
BulletJournal,com.bulletjournal.controller,UserController,Deficient Encapsulation
BulletJournal,com.bulletjournal.controller.utils,ProjectItemsGrouperTest,Unutilized Abstraction
BulletJournal,com.bulletjournal.controller.utils,ZonedDateTimeHelperTest,Unutilized Abstraction
BulletJournal,com.bulletjournal.controller.utils,ZonedDateTimeHelper,Deficient Encapsulation
BulletJournal,com.bulletjournal.controller.utils,ZonedDateTimeHelper,Insufficient Modularization
BulletJournal,com.bulletjournal.controller.utils,ProjectItemsGrouper,Deficient Encapsulation
BulletJournal,com.bulletjournal.controller.utils,ProjectItemsGrouper,Cyclic-Dependent Modularization
BulletJournal,com.bulletjournal.controller.models,TaskViewTest,Unutilized Abstraction
BulletJournal,com.bulletjournal.controller.models,TaskStubNullDueDate,Unutilized Abstraction
BulletJournal,com.bulletjournal.controller.models,TaskStubNullDueDate,Broken Hierarchy
BulletJournal,com.bulletjournal.controller.models,TaskStubNullDueTime,Unutilized Abstraction
BulletJournal,com.bulletjournal.controller.models,TaskStubNullDuration,Unutilized Abstraction
BulletJournal,com.bulletjournal.controller.models,TaskStub,Unutilized Abstraction
BulletJournal,com.bulletjournal.controller.models,TransactionViewTest,Unutilized Abstraction
BulletJournal,com.bulletjournal.controller.models,TransactionStub,Unutilized Abstraction
BulletJournal,com.bulletjournal.controller.models,LoginStatus,Unutilized Abstraction
BulletJournal,com.bulletjournal.controller.models,Myself,Unutilized Abstraction
BulletJournal,com.bulletjournal.controller.models,Myself,Broken Hierarchy
BulletJournal,com.bulletjournal.controller.models,Myself,Insufficient Modularization
BulletJournal,com.bulletjournal.controller.models,Group,Cyclic-Dependent Modularization
BulletJournal,com.bulletjournal.controller.models,UserTaskStatistic,Unutilized Abstraction
BulletJournal,com.bulletjournal.controller.models,Booking,Insufficient Modularization
BulletJournal,com.bulletjournal.controller.models,ProjectDetails,Broken Hierarchy
