Project Name,Package Name,Type Name,Method Name,Code Smell
BulletJournal,com.bulletjournal.clients,UserClientTests,testGetUser,Long Statement
BulletJournal,com.bulletjournal.clients,UserClientTests,testGetUser,Magic Number
BulletJournal,com.bulletjournal.clients,ESClient,elasticsearchClient,Long Statement
BulletJournal,com.bulletjournal.clients,DaemonServiceClient,convertDeltaToHtml,Long Statement
BulletJournal,com.bulletjournal.clients,DaemonServiceClient,subscribeNotification,Long Statement
BulletJournal,com.bulletjournal.clients,DaemonServiceClient,newResponseObserver,Long Statement
BulletJournal,com.bulletjournal.clients,DaemonServiceClient,newResponseObserver,Long Statement
BulletJournal,com.bulletjournal.clients,DaemonServiceClient,newResponseObserver,Magic Number
BulletJournal,com.bulletjournal.clients,DaemonServiceClient,newResponseObserver,Magic Number
BulletJournal,com.bulletjournal.clients,DaemonServiceClient,newResponseObserver,Missing default
BulletJournal,com.bulletjournal.clients,DaemonServiceClient,onNext,Long Statement
BulletJournal,com.bulletjournal.clients,DaemonServiceClient,onNext,Missing default
BulletJournal,com.bulletjournal.clients,DaemonServiceClient,onError,Magic Number
BulletJournal,com.bulletjournal.clients,DaemonServiceClient,onCompleted,Long Statement
BulletJournal,com.bulletjournal.clients,DaemonServiceClient,onCompleted,Magic Number
BulletJournal,com.bulletjournal.clients,GoogleMapsClient,findPlaceFromText,Long Statement
BulletJournal,com.bulletjournal.clients,GoogleCalClient,initializeFlow,Long Statement
BulletJournal,com.bulletjournal.clients,GoogleCalClient,getCalendarService,Long Statement
BulletJournal,com.bulletjournal.clients,UserClient,getUser,Long Statement
BulletJournal,com.bulletjournal.clients,UserClient,getUser,Magic Number
BulletJournal,com.bulletjournal.clients,UserClient,getSSOUserInfo,Long Statement
BulletJournal,com.bulletjournal.clients,UserClient,uploadAvatar,Long Statement
BulletJournal,com.bulletjournal.clients,UserClient,uploadAvatar,Long Statement
BulletJournal,com.bulletjournal.clients,UserClient,createTopic,Long Statement
BulletJournal,com.bulletjournal.clients,UserClient,createTopic,Long Statement
BulletJournal,com.bulletjournal.clients,AWSS3Client,initializeAwsConnection,Long Statement
BulletJournal,com.bulletjournal.clients,AWSS3Client,uploadFileToS3Bucket,Long Statement
BulletJournal,com.bulletjournal.repository.utils,DaoHelperTest,recoverTaskWithDueDateTime,Long Statement
BulletJournal,com.bulletjournal.repository.utils,DaoHelperTest,recoverTaskWithDueDateTime,Magic Number
BulletJournal,com.bulletjournal.repository.utils,DaoHelperTest,getRecurringTransaction,Long Statement
BulletJournal,com.bulletjournal.repository.utils,DaoHelperTest,getRecurringTransaction,Magic Number
BulletJournal,com.bulletjournal.repository.utils,RecurrenceRuleTest,testRule,Magic Number
BulletJournal,com.bulletjournal.repository.utils,RecurrenceRuleTest,testRule,Magic Number
BulletJournal,com.bulletjournal.repository.utils,RecurrenceRuleTest,testRule,Magic Number
BulletJournal,com.bulletjournal.repository.utils,RecurrenceRuleTest,testRule,Magic Number
BulletJournal,com.bulletjournal.repository.utils,GoogleCalendarDataStore,delete,Long Statement
BulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,createSampleProjectRelations,Long Parameter List
BulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,testFindAllIds,Magic Number
BulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,testFindAllIds,Magic Number
BulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,testFindAllIds,Magic Number
BulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,testFindAllIds,Magic Number
BulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,testFindAllIds,Magic Number
BulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,testFindAllIds,Magic Number
BulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,testFindAllIds,Magic Number
BulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,testFindAllIds,Magic Number
BulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,testFindAllIds,Magic Number
BulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,testFindAllIds,Magic Number
BulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,testFindAllIds,Magic Number
BulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,testFindAllIds,Magic Number
BulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,testFindAllIds,Magic Number
BulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,testFindAllIds,Magic Number
BulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,testProjectRelationsProcessor,Magic Number
BulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,testProjectRelationsProcessor,Magic Number
BulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,testProjectRelationsProcessor,Magic Number
BulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,testProjectRelationsProcessor,Magic Number
BulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,testProjectRelationsProcessor,Magic Number
BulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,testProjectRelationsProcessor,Magic Number
BulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,testProjectRelationsProcessor,Magic Number
BulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,testProjectRelationsProcessor,Magic Number
BulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,testProjectRelationsProcessor,Magic Number
BulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,testProjectRelationsProcessor,Magic Number
BulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,testProjectRelationsProcessor,Magic Number
BulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,testProjectRelationsProcessor,Magic Number
BulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,testProjectRelationsProcessor,Magic Number
BulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,testProjectRelationsProcessor,Magic Number
BulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,testProjectRelationsProcessor,Magic Number
BulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,testProjectRelationsProcessor,Magic Number
BulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,testProjectRelationsProcessor,Magic Number
BulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,testProjectRelationsProcessor,Magic Number
BulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,testProjectRelationsProcessor,Magic Number
BulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,testProjectRelationsProcessor,Magic Number
BulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,testProjectRelationsProcessor,Magic Number
BulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,testProjectRelationsProcessor,Magic Number
BulletJournal,com.bulletjournal.hierarchy,HierarchyProcessor,findAllIds,Complex Conditional
BulletJournal,com.bulletjournal.hierarchy,CategoryRelationsProcessor,processRelations,Long Statement
BulletJournal,com.bulletjournal.hierarchy,ProjectRelationsProcessor,processRelations,Long Statement
BulletJournal,com.bulletjournal.util,ContentDiffToolTest,testComputeDiffAndApply,Long Statement
BulletJournal,com.bulletjournal.util,ContentDiffToolTest,testComputeDiffAndApply,Long Statement
BulletJournal,com.bulletjournal.util,ContentDiffToolTest,testComputeDiffAndApply,Long Statement
BulletJournal,com.bulletjournal.util,DeltaConverterTest,testEmojiProvider,Magic Number
BulletJournal,com.bulletjournal.util,BookingUtil,calculateSlots,Complex Method
BulletJournal,com.bulletjournal.util,BookingUtil,calculateSlots,Long Parameter List
BulletJournal,com.bulletjournal.util,BookingUtil,calculateSlots,Long Statement
BulletJournal,com.bulletjournal.util,BookingUtil,calculateSlots,Long Statement
BulletJournal,com.bulletjournal.util,BookingUtil,calculateSlots,Long Statement
BulletJournal,com.bulletjournal.util,BookingUtil,calculateSlots,Long Statement
BulletJournal,com.bulletjournal.util,BookingUtil,calculateSlots,Long Statement
BulletJournal,com.bulletjournal.util,BookingUtil,calculateSlots,Long Statement
BulletJournal,com.bulletjournal.util,BookingUtil,calculateSlots,Magic Number
BulletJournal,com.bulletjournal.util,BookingUtil,calculateSlots,Magic Number
BulletJournal,com.bulletjournal.util,BookingUtil,getBookingLinkSlots,Long Statement
BulletJournal,com.bulletjournal.util,BookingUtil,toList,Long Statement
BulletJournal,com.bulletjournal.util,DeltaContent,adjustDelta,Complex Method
BulletJournal,com.bulletjournal.util,DeltaContent,addToList,Long Parameter List
BulletJournal,com.bulletjournal.util,MathUtil,round,Magic Number
BulletJournal,com.bulletjournal.redis.models,ShareItemIds,equals,Long Statement
BulletJournal,com.bulletjournal.redis.models,ShareItemIds,toString,Long Statement
BulletJournal,com.bulletjournal.redis.models,LockedUser,getExpirationInHour,Magic Number
BulletJournal,com.bulletjournal.redis.models,LockedIP,getExpirationInHour,Magic Number
BulletJournal,com.bulletjournal.redis.models,LockedIP,equals,Long Statement
BulletJournal,com.bulletjournal.controller,TaskControllerTest,generateUpdateContent,Long Statement
BulletJournal,com.bulletjournal.controller,TaskControllerTest,testGetContentRevision,Long Statement
BulletJournal,com.bulletjournal.controller,TaskControllerTest,testGetContentRevision,Long Statement
BulletJournal,com.bulletjournal.controller,TaskControllerTest,testGetContentRevision,Long Statement
BulletJournal,com.bulletjournal.controller,TaskControllerTest,testGetContentRevision,Long Statement
BulletJournal,com.bulletjournal.controller,TaskControllerTest,testGetContentRevision,Long Statement
BulletJournal,com.bulletjournal.controller,TaskControllerTest,testGetContentRevision,Long Statement
BulletJournal,com.bulletjournal.controller,TaskControllerTest,testGetContentRevision,Long Statement
BulletJournal,com.bulletjournal.controller,TaskControllerTest,testGetContentRevision,Long Statement
BulletJournal,com.bulletjournal.controller,TaskControllerTest,testGetContentRevision,Long Statement
BulletJournal,com.bulletjournal.controller,TaskControllerTest,testGetContentRevision,Long Statement
BulletJournal,com.bulletjournal.controller,TaskControllerTest,testGetContentRevision,Long Statement
BulletJournal,com.bulletjournal.controller,TaskControllerTest,testGetContentRevision,Long Statement
BulletJournal,com.bulletjournal.controller,TaskControllerTest,testGetContentRevision,Long Statement
BulletJournal,com.bulletjournal.controller,TaskControllerTest,testGetContentRevision,Long Statement
BulletJournal,com.bulletjournal.controller,TaskControllerTest,testGetContentRevision,Long Statement
BulletJournal,com.bulletjournal.controller,TaskControllerTest,testGetContentRevision,Long Statement
BulletJournal,com.bulletjournal.controller,TaskControllerTest,testGetContentRevision,Long Statement
BulletJournal,com.bulletjournal.controller,TaskControllerTest,testGetContentRevision,Magic Number
BulletJournal,com.bulletjournal.controller,TaskControllerTest,testGetContentRevision,Magic Number
BulletJournal,com.bulletjournal.controller,TaskControllerTest,testGetContentRevision,Magic Number
BulletJournal,com.bulletjournal.controller,TaskControllerTest,testGetContentRevision,Magic Number
BulletJournal,com.bulletjournal.controller,TaskControllerTest,testGetContentRevision,Magic Number
BulletJournal,com.bulletjournal.controller,TaskControllerTest,testGetContentRevision,Magic Number
BulletJournal,com.bulletjournal.controller,TaskControllerTest,testGetContentRevision,Magic Number
BulletJournal,com.bulletjournal.controller,TaskControllerTest,testGetContentRevision,Magic Number
BulletJournal,com.bulletjournal.controller,TaskControllerTest,testGetContentRevision,Magic Number
BulletJournal,com.bulletjournal.controller,TaskControllerTest,testGetContentRevision,Magic Number
BulletJournal,com.bulletjournal.controller,TaskControllerTest,testGetContentRevision,Magic Number
