Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
BulletJournal,com.bulletjournal.clients,UserClientTests,testGetUser,19,1,0
BulletJournal,com.bulletjournal.clients,MockUserAliasDaoJpa,updateUserAlias,3,1,1
BulletJournal,com.bulletjournal.clients,ESClient,elasticsearchClient,4,1,0
BulletJournal,com.bulletjournal.clients,ESClient,elasticsearchRestTemplate,3,1,0
BulletJournal,com.bulletjournal.clients,DaemonServiceClient,postConstruct,13,3,0
BulletJournal,com.bulletjournal.clients,DaemonServiceClient,convertDeltaToHtml,13,2,1
BulletJournal,com.bulletjournal.clients,DaemonServiceClient,subscribeNotification,4,1,0
BulletJournal,com.bulletjournal.clients,DaemonServiceClient,newResponseObserver,49,3,0
BulletJournal,com.bulletjournal.clients,DaemonServiceClient,onNext,22,3,1
BulletJournal,com.bulletjournal.clients,DaemonServiceClient,onError,12,1,1
BulletJournal,com.bulletjournal.clients,DaemonServiceClient,onCompleted,10,1,0
BulletJournal,com.bulletjournal.clients,PickAvatarParams,PickAvatarParams,2,1,0
BulletJournal,com.bulletjournal.clients,PickAvatarParams,PickAvatarParams,4,1,2
BulletJournal,com.bulletjournal.clients,PickAvatarParams,getType,3,1,0
BulletJournal,com.bulletjournal.clients,PickAvatarParams,setType,3,1,1
BulletJournal,com.bulletjournal.clients,PickAvatarParams,getUploadId,3,1,0
BulletJournal,com.bulletjournal.clients,PickAvatarParams,setUploadId,3,1,1
BulletJournal,com.bulletjournal.clients,GoogleMapsClient,init,5,2,0
BulletJournal,com.bulletjournal.clients,GoogleMapsClient,cleanup,5,2,0
BulletJournal,com.bulletjournal.clients,GoogleMapsClient,findPlaceFromText,8,2,3
BulletJournal,com.bulletjournal.clients,CreateTopicParams,CreateTopicParams,2,1,0
BulletJournal,com.bulletjournal.clients,CreateTopicParams,CreateTopicParams,5,1,3
BulletJournal,com.bulletjournal.clients,CreateTopicParams,getTitle,3,1,0
BulletJournal,com.bulletjournal.clients,CreateTopicParams,setTitle,3,1,1
BulletJournal,com.bulletjournal.clients,CreateTopicParams,getRaw,3,1,0
BulletJournal,com.bulletjournal.clients,CreateTopicParams,setRaw,3,1,1
BulletJournal,com.bulletjournal.clients,CreateTopicParams,getCategory,3,1,0
BulletJournal,com.bulletjournal.clients,CreateTopicParams,setCategory,3,1,1
BulletJournal,com.bulletjournal.clients,GoogleCalClient,initializeFlow,12,2,0
BulletJournal,com.bulletjournal.clients,GoogleCalClient,getHttpTransport,3,1,0
BulletJournal,com.bulletjournal.clients,GoogleCalClient,getFlow,3,1,0
BulletJournal,com.bulletjournal.clients,GoogleCalClient,getCalendarService,13,3,0
BulletJournal,com.bulletjournal.clients,UserClient,UserClient,8,1,4
BulletJournal,com.bulletjournal.clients,UserClient,logout,9,2,1
BulletJournal,com.bulletjournal.clients,UserClient,getUser,28,2,1
BulletJournal,com.bulletjournal.clients,UserClient,getUserTimeZone,10,3,1
BulletJournal,com.bulletjournal.clients,UserClient,getUserEmail,7,2,1
BulletJournal,com.bulletjournal.clients,UserClient,getUser,7,1,2
BulletJournal,com.bulletjournal.clients,UserClient,getSSOUserInfo,4,1,1
BulletJournal,com.bulletjournal.clients,UserClient,buildHeaders,11,2,0
BulletJournal,com.bulletjournal.clients,UserClient,uploadAvatar,23,2,2
BulletJournal,com.bulletjournal.clients,UserClient,getHttpHeaders,7,1,2
BulletJournal,com.bulletjournal.clients,UserClient,createTopic,10,2,4
BulletJournal,com.bulletjournal.clients,UserClient,updateEmail,8,2,1
BulletJournal,com.bulletjournal.clients,UserClient,getAvatar,7,2,1
BulletJournal,com.bulletjournal.clients,AWSS3Client,initializeAwsConnection,7,2,0
BulletJournal,com.bulletjournal.clients,AWSS3Client,uploadFile,23,3,1
BulletJournal,com.bulletjournal.clients,AWSS3Client,uploadFileToS3Bucket,3,1,2
BulletJournal,com.bulletjournal.repository.utils,DaoHelperTest,recoverTaskWithDueDateTime,11,1,0
BulletJournal,com.bulletjournal.repository.utils,DaoHelperTest,getRecurringTransaction,12,1,0
BulletJournal,com.bulletjournal.repository.utils,DaoHelperTest,getId,3,1,0
BulletJournal,com.bulletjournal.repository.utils,ProjectStub,getId,3,1,0
BulletJournal,com.bulletjournal.repository.utils,RecurrenceRuleTest,testRule,10,2,0
BulletJournal,com.bulletjournal.repository.utils,GoogleCalendarDataStore,GoogleCalendarDataStore,4,1,3
BulletJournal,com.bulletjournal.repository.utils,GoogleCalendarDataStore,keySet,3,1,0
BulletJournal,com.bulletjournal.repository.utils,GoogleCalendarDataStore,values,10,1,0
BulletJournal,com.bulletjournal.repository.utils,GoogleCalendarDataStore,get,12,2,1
BulletJournal,com.bulletjournal.repository.utils,GoogleCalendarDataStore,set,6,1,2
BulletJournal,com.bulletjournal.repository.utils,GoogleCalendarDataStore,clear,4,1,0
BulletJournal,com.bulletjournal.repository.utils,GoogleCalendarDataStore,delete,5,1,1
BulletJournal,com.bulletjournal.repository.utils,StringArrayType,StringArrayType,3,1,0
BulletJournal,com.bulletjournal.repository.utils,StringArrayType,getName,3,1,0
BulletJournal,com.bulletjournal.repository.utils,StringArrayType,registerUnderJavaType,3,1,0
BulletJournal,com.bulletjournal.repository.utils,StringArrayType,setParameterValues,3,1,1
BulletJournal,com.bulletjournal.repository.utils,LongArrayType,LongArrayType,3,1,0
BulletJournal,com.bulletjournal.repository.utils,LongArrayType,getName,3,1,0
BulletJournal,com.bulletjournal.repository.utils,LongArrayType,registerUnderJavaType,3,1,0
BulletJournal,com.bulletjournal.repository.utils,LongArrayType,setParameterValues,3,1,1
BulletJournal,com.bulletjournal.repository.utils,StringArrayTypeDescriptor,StringArrayTypeDescriptor,3,1,0
BulletJournal,com.bulletjournal.repository.utils,StringArrayTypeDescriptor,getSqlArrayType,3,1,0
BulletJournal,com.bulletjournal.repository.utils,LongArrayTypeDescriptor,LongArrayTypeDescriptor,3,1,0
BulletJournal,com.bulletjournal.repository.utils,LongArrayTypeDescriptor,getSqlArrayType,3,1,0
