Project Name,Package Name,Type Name,Code Smell
bulletJournal,com.bulletjournal.clients,UserClientTests,Unutilized Abstraction
bulletJournal,com.bulletjournal.clients,ESClient,Unutilized Abstraction
bulletJournal,com.bulletjournal.clients,PickAvatarParams,Unutilized Abstraction
bulletJournal,com.bulletjournal.clients,GoogleMapsClient,Unutilized Abstraction
bulletJournal,com.bulletjournal.clients,CreateTopicParams,Unutilized Abstraction
bulletJournal,com.bulletjournal.clients,UserClient,Deficient Encapsulation
bulletJournal,com.bulletjournal.clients,UserClient,Cyclic-Dependent Modularization
bulletJournal,com.bulletjournal.repository.utils,DaoHelperTest,Unutilized Abstraction
bulletJournal,com.bulletjournal.repository.utils,RecurrenceRuleTest,Unutilized Abstraction
bulletJournal,com.bulletjournal.repository.utils,GoogleCalendarDataStore,Unutilized Abstraction
bulletJournal,com.bulletjournal.repository.utils,StringArrayType,Deficient Encapsulation
bulletJournal,com.bulletjournal.repository.utils,LongArrayType,Deficient Encapsulation
bulletJournal,com.bulletjournal.repository.utils,StringArrayTypeDescriptor,Deficient Encapsulation
bulletJournal,com.bulletjournal.repository.utils,LongArrayTypeDescriptor,Deficient Encapsulation
bulletJournal,com.bulletjournal.repository.utils,GoogleCalendarDataStoreFactory,Unutilized Abstraction
bulletJournal,com.bulletjournal.repository.utils,DaoHelper,Cyclic-Dependent Modularization
bulletJournal,com.bulletjournal.hierarchy,TaskRelationsProcessor,Cyclic-Dependent Modularization
bulletJournal,com.bulletjournal.hierarchy,HierarchyItem,Deficient Encapsulation
bulletJournal,com.bulletjournal.hierarchy,HierarchyProcessor,Deficient Encapsulation
bulletJournal,com.bulletjournal.hierarchy,ProjectRelationsProcessor,Cyclic-Dependent Modularization
bulletJournal,com.bulletjournal.util,DeltaContentTest,Unutilized Abstraction
bulletJournal,com.bulletjournal.util,ContentDiffToolTest,Unutilized Abstraction
bulletJournal,com.bulletjournal.util,DeltaConverterTest,Unutilized Abstraction
bulletJournal,com.bulletjournal.util,StringUtil,Deficient Encapsulation
bulletJournal,com.bulletjournal.util,CustomThreadFactory,Unutilized Abstraction
bulletJournal,com.bulletjournal.util,EmojiRuleProvider,Unnecessary Abstraction
bulletJournal,com.bulletjournal.util,EmojiRuleProvider,Deficient Encapsulation
bulletJournal,com.bulletjournal.util,DeltaContent,Deficient Encapsulation
bulletJournal,com.bulletjournal.util,WebToMobile,Unutilized Abstraction
bulletJournal,com.bulletjournal.redis.models,EtagTypeTest,Unutilized Abstraction
bulletJournal,com.bulletjournal.redis.models,UserAliases,Unutilized Abstraction
bulletJournal,com.bulletjournal.redis.models,BankAccountBalance,Unutilized Abstraction
bulletJournal,com.bulletjournal.redis.models,FirstTimeUser,Unutilized Abstraction
bulletJournal,com.bulletjournal.controller,TaskControllerTest,Unutilized Abstraction
bulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,Unutilized Abstraction
bulletJournal,com.bulletjournal.controller,BankAccountControllerTest,Unutilized Abstraction
bulletJournal,com.bulletjournal.controller,GoogleCalendarControllerTest,Unutilized Abstraction
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,Unutilized Abstraction
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,Insufficient Modularization
bulletJournal,com.bulletjournal.controller,UserControllerTest,Unutilized Abstraction
bulletJournal,com.bulletjournal.controller,TransactionControllerTest,Unutilized Abstraction
bulletJournal,com.bulletjournal.controller,BookingLinkControllerTest,Unutilized Abstraction
bulletJournal,com.bulletjournal.controller,DeviceControllerTest,Unutilized Abstraction
bulletJournal,com.bulletjournal.controller,SystemControllerTest,Unutilized Abstraction
bulletJournal,com.bulletjournal.controller,QueryControllerTest,Unutilized Abstraction
bulletJournal,com.bulletjournal.controller,RateFilterTest,Unutilized Abstraction
bulletJournal,com.bulletjournal.controller,AdminController,Unutilized Abstraction
bulletJournal,com.bulletjournal.controller,AdminController,Deficient Encapsulation
bulletJournal,com.bulletjournal.controller,NoteController,Insufficient Modularization
bulletJournal,com.bulletjournal.controller,ProjectItemController,Deficient Encapsulation
bulletJournal,com.bulletjournal.controller,TaskController,Deficient Encapsulation
bulletJournal,com.bulletjournal.controller,TaskController,Insufficient Modularization
bulletJournal,com.bulletjournal.controller,SystemController,Deficient Encapsulation
bulletJournal,com.bulletjournal.controller,FileController,Unutilized Abstraction
bulletJournal,com.bulletjournal.controller,GoogleCalendarController,Deficient Encapsulation
bulletJournal,com.bulletjournal.controller,TransactionController,Insufficient Modularization
bulletJournal,com.bulletjournal.controller,BookingLinksController,Deficient Encapsulation
bulletJournal,com.bulletjournal.controller,PaymentController,Unutilized Abstraction
bulletJournal,com.bulletjournal.controller,GroupController,Deficient Encapsulation
bulletJournal,com.bulletjournal.controller,UserController,Deficient Encapsulation
bulletJournal,com.bulletjournal.controller.utils,ProjectItemsGrouperTest,Unutilized Abstraction
bulletJournal,com.bulletjournal.controller.utils,ZonedDateTimeHelperTest,Unutilized Abstraction
bulletJournal,com.bulletjournal.controller.utils,ZonedDateTimeHelper,Deficient Encapsulation
bulletJournal,com.bulletjournal.controller.utils,ZonedDateTimeHelper,Insufficient Modularization
bulletJournal,com.bulletjournal.controller.utils,ProjectItemsGrouper,Deficient Encapsulation
bulletJournal,com.bulletjournal.controller.utils,ProjectItemsGrouper,Cyclic-Dependent Modularization
bulletJournal,com.bulletjournal.controller.models,TaskViewTest,Unutilized Abstraction
bulletJournal,com.bulletjournal.controller.models,TaskStubNullDueDate,Unutilized Abstraction
bulletJournal,com.bulletjournal.controller.models,TaskStubNullDueDate,Broken Hierarchy
bulletJournal,com.bulletjournal.controller.models,TaskStubNullDueTime,Unutilized Abstraction
bulletJournal,com.bulletjournal.controller.models,TaskStubNullDuration,Unutilized Abstraction
bulletJournal,com.bulletjournal.controller.models,TaskStub,Unutilized Abstraction
bulletJournal,com.bulletjournal.controller.models,TransactionViewTest,Unutilized Abstraction
bulletJournal,com.bulletjournal.controller.models,TransactionStub,Unutilized Abstraction
bulletJournal,com.bulletjournal.controller.models,LoginStatus,Unutilized Abstraction
bulletJournal,com.bulletjournal.controller.models,Myself,Unutilized Abstraction
bulletJournal,com.bulletjournal.controller.models,Myself,Broken Hierarchy
bulletJournal,com.bulletjournal.controller.models,Myself,Insufficient Modularization
bulletJournal,com.bulletjournal.controller.models,Group,Cyclic-Dependent Modularization
bulletJournal,com.bulletjournal.controller.models,UserTaskStatistic,Unutilized Abstraction
bulletJournal,com.bulletjournal.controller.models,Booking,Insufficient Modularization
bulletJournal,com.bulletjournal.controller.models,ProjectDetails,Broken Hierarchy
bulletJournal,com.bulletjournal.controller.models,Notification,Insufficient Modularization
bulletJournal,com.bulletjournal.controller.models,ProjectItem,Unexploited Encapsulation
