Project Name,Package Name,Type Name,Method Name,Code Smell
bulletJournal,com.bulletjournal.clients,UserClientTests,testGetUser,Long Statement
bulletJournal,com.bulletjournal.clients,UserClientTests,testGetUser,Magic Number
bulletJournal,com.bulletjournal.clients,ESClient,elasticsearchClient,Long Statement
bulletJournal,com.bulletjournal.clients,DaemonServiceClient,convertDeltaToHtml,Long Statement
bulletJournal,com.bulletjournal.clients,DaemonServiceClient,subscribeNotification,Long Statement
bulletJournal,com.bulletjournal.clients,DaemonServiceClient,newResponseObserver,Long Statement
bulletJournal,com.bulletjournal.clients,DaemonServiceClient,newResponseObserver,Long Statement
bulletJournal,com.bulletjournal.clients,DaemonServiceClient,newResponseObserver,Magic Number
bulletJournal,com.bulletjournal.clients,DaemonServiceClient,newResponseObserver,Magic Number
bulletJournal,com.bulletjournal.clients,DaemonServiceClient,newResponseObserver,Missing default
bulletJournal,com.bulletjournal.clients,DaemonServiceClient,onNext,Long Statement
bulletJournal,com.bulletjournal.clients,DaemonServiceClient,onNext,Missing default
bulletJournal,com.bulletjournal.clients,DaemonServiceClient,onError,Magic Number
bulletJournal,com.bulletjournal.clients,DaemonServiceClient,onCompleted,Long Statement
bulletJournal,com.bulletjournal.clients,DaemonServiceClient,onCompleted,Magic Number
bulletJournal,com.bulletjournal.clients,GoogleMapsClient,findPlaceFromText,Long Statement
bulletJournal,com.bulletjournal.clients,GoogleCalClient,initializeFlow,Long Statement
bulletJournal,com.bulletjournal.clients,GoogleCalClient,getCalendarService,Long Statement
bulletJournal,com.bulletjournal.clients,UserClient,getUser,Long Statement
bulletJournal,com.bulletjournal.clients,UserClient,getUser,Magic Number
bulletJournal,com.bulletjournal.clients,UserClient,getSSOUserInfo,Long Statement
bulletJournal,com.bulletjournal.clients,UserClient,uploadAvatar,Long Statement
bulletJournal,com.bulletjournal.clients,UserClient,uploadAvatar,Long Statement
bulletJournal,com.bulletjournal.clients,UserClient,createTopic,Long Statement
bulletJournal,com.bulletjournal.clients,UserClient,createTopic,Long Statement
bulletJournal,com.bulletjournal.clients,AWSS3Client,initializeAwsConnection,Long Statement
bulletJournal,com.bulletjournal.clients,AWSS3Client,uploadFileToS3Bucket,Long Statement
bulletJournal,com.bulletjournal.repository.utils,DaoHelperTest,recoverTaskWithDueDateTime,Long Statement
bulletJournal,com.bulletjournal.repository.utils,DaoHelperTest,recoverTaskWithDueDateTime,Magic Number
bulletJournal,com.bulletjournal.repository.utils,DaoHelperTest,getRecurringTransaction,Long Statement
bulletJournal,com.bulletjournal.repository.utils,DaoHelperTest,getRecurringTransaction,Magic Number
bulletJournal,com.bulletjournal.repository.utils,RecurrenceRuleTest,testRule,Magic Number
bulletJournal,com.bulletjournal.repository.utils,RecurrenceRuleTest,testRule,Magic Number
bulletJournal,com.bulletjournal.repository.utils,RecurrenceRuleTest,testRule,Magic Number
bulletJournal,com.bulletjournal.repository.utils,RecurrenceRuleTest,testRule,Magic Number
bulletJournal,com.bulletjournal.repository.utils,GoogleCalendarDataStore,delete,Long Statement
bulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,createSampleProjectRelations,Long Parameter List
bulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,testFindAllIds,Magic Number
bulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,testFindAllIds,Magic Number
bulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,testFindAllIds,Magic Number
bulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,testFindAllIds,Magic Number
bulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,testFindAllIds,Magic Number
bulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,testFindAllIds,Magic Number
bulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,testFindAllIds,Magic Number
bulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,testFindAllIds,Magic Number
bulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,testFindAllIds,Magic Number
bulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,testFindAllIds,Magic Number
bulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,testFindAllIds,Magic Number
bulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,testFindAllIds,Magic Number
bulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,testFindAllIds,Magic Number
bulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,testFindAllIds,Magic Number
bulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,testProjectRelationsProcessor,Magic Number
bulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,testProjectRelationsProcessor,Magic Number
bulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,testProjectRelationsProcessor,Magic Number
bulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,testProjectRelationsProcessor,Magic Number
bulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,testProjectRelationsProcessor,Magic Number
bulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,testProjectRelationsProcessor,Magic Number
bulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,testProjectRelationsProcessor,Magic Number
bulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,testProjectRelationsProcessor,Magic Number
bulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,testProjectRelationsProcessor,Magic Number
bulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,testProjectRelationsProcessor,Magic Number
bulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,testProjectRelationsProcessor,Magic Number
bulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,testProjectRelationsProcessor,Magic Number
bulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,testProjectRelationsProcessor,Magic Number
bulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,testProjectRelationsProcessor,Magic Number
bulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,testProjectRelationsProcessor,Magic Number
bulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,testProjectRelationsProcessor,Magic Number
bulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,testProjectRelationsProcessor,Magic Number
bulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,testProjectRelationsProcessor,Magic Number
bulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,testProjectRelationsProcessor,Magic Number
bulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,testProjectRelationsProcessor,Magic Number
bulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,testProjectRelationsProcessor,Magic Number
bulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,testProjectRelationsProcessor,Magic Number
bulletJournal,com.bulletjournal.hierarchy,HierarchyProcessor,findAllIds,Complex Conditional
bulletJournal,com.bulletjournal.hierarchy,CategoryRelationsProcessor,processRelations,Long Statement
bulletJournal,com.bulletjournal.hierarchy,ProjectRelationsProcessor,processRelations,Long Statement
bulletJournal,com.bulletjournal.util,ContentDiffToolTest,testComputeDiff,Long Statement
bulletJournal,com.bulletjournal.util,ContentDiffToolTest,testComputeDiff,Long Statement
bulletJournal,com.bulletjournal.util,ContentDiffToolTest,testComputeDiff,Long Statement
bulletJournal,com.bulletjournal.util,DeltaConverterTest,testEmojiProvider,Magic Number
bulletJournal,com.bulletjournal.util,BookingUtil,calculateSlots,Complex Method
bulletJournal,com.bulletjournal.util,BookingUtil,calculateSlots,Long Parameter List
bulletJournal,com.bulletjournal.util,BookingUtil,calculateSlots,Long Statement
bulletJournal,com.bulletjournal.util,BookingUtil,calculateSlots,Long Statement
bulletJournal,com.bulletjournal.util,BookingUtil,calculateSlots,Long Statement
bulletJournal,com.bulletjournal.util,BookingUtil,calculateSlots,Long Statement
bulletJournal,com.bulletjournal.util,BookingUtil,calculateSlots,Long Statement
bulletJournal,com.bulletjournal.util,BookingUtil,calculateSlots,Long Statement
bulletJournal,com.bulletjournal.util,BookingUtil,calculateSlots,Magic Number
bulletJournal,com.bulletjournal.util,BookingUtil,calculateSlots,Magic Number
bulletJournal,com.bulletjournal.util,BookingUtil,getBookingLinkSlots,Long Statement
bulletJournal,com.bulletjournal.util,BookingUtil,toList,Long Statement
bulletJournal,com.bulletjournal.util,DeltaContent,adjustDelta,Complex Method
bulletJournal,com.bulletjournal.util,DeltaContent,addToList,Long Parameter List
bulletJournal,com.bulletjournal.util,MathUtil,round,Magic Number
bulletJournal,com.bulletjournal.redis.models,ShareItemIds,equals,Long Statement
bulletJournal,com.bulletjournal.redis.models,ShareItemIds,toString,Long Statement
bulletJournal,com.bulletjournal.redis.models,LockedUser,getExpirationInHour,Magic Number
bulletJournal,com.bulletjournal.redis.models,LockedIP,getExpirationInHour,Magic Number
bulletJournal,com.bulletjournal.redis.models,LockedIP,equals,Long Statement
bulletJournal,com.bulletjournal.controller,TaskControllerTest,generateUpdateContent,Long Statement
bulletJournal,com.bulletjournal.controller,TaskControllerTest,testGetContentRevision,Long Statement
bulletJournal,com.bulletjournal.controller,TaskControllerTest,testGetContentRevision,Long Statement
bulletJournal,com.bulletjournal.controller,TaskControllerTest,testGetContentRevision,Long Statement
bulletJournal,com.bulletjournal.controller,TaskControllerTest,testGetContentRevision,Long Statement
bulletJournal,com.bulletjournal.controller,TaskControllerTest,testGetContentRevision,Long Statement
bulletJournal,com.bulletjournal.controller,TaskControllerTest,testGetContentRevision,Long Statement
bulletJournal,com.bulletjournal.controller,TaskControllerTest,testGetContentRevision,Long Statement
bulletJournal,com.bulletjournal.controller,TaskControllerTest,testGetContentRevision,Long Statement
bulletJournal,com.bulletjournal.controller,TaskControllerTest,testGetContentRevision,Long Statement
bulletJournal,com.bulletjournal.controller,TaskControllerTest,testGetContentRevision,Long Statement
bulletJournal,com.bulletjournal.controller,TaskControllerTest,testGetContentRevision,Long Statement
bulletJournal,com.bulletjournal.controller,TaskControllerTest,testGetContentRevision,Long Statement
bulletJournal,com.bulletjournal.controller,TaskControllerTest,testGetContentRevision,Long Statement
bulletJournal,com.bulletjournal.controller,TaskControllerTest,testGetContentRevision,Long Statement
bulletJournal,com.bulletjournal.controller,TaskControllerTest,testGetContentRevision,Long Statement
bulletJournal,com.bulletjournal.controller,TaskControllerTest,testGetContentRevision,Long Statement
bulletJournal,com.bulletjournal.controller,TaskControllerTest,testGetContentRevision,Long Statement
bulletJournal,com.bulletjournal.controller,TaskControllerTest,testGetContentRevision,Magic Number
bulletJournal,com.bulletjournal.controller,TaskControllerTest,testGetContentRevision,Magic Number
bulletJournal,com.bulletjournal.controller,TaskControllerTest,testGetContentRevision,Magic Number
bulletJournal,com.bulletjournal.controller,TaskControllerTest,testGetContentRevision,Magic Number
bulletJournal,com.bulletjournal.controller,TaskControllerTest,testGetContentRevision,Magic Number
bulletJournal,com.bulletjournal.controller,TaskControllerTest,testGetContentRevision,Magic Number
bulletJournal,com.bulletjournal.controller,TaskControllerTest,testGetContentRevision,Magic Number
bulletJournal,com.bulletjournal.controller,TaskControllerTest,testGetContentRevision,Magic Number
bulletJournal,com.bulletjournal.controller,TaskControllerTest,testGetContentRevision,Magic Number
bulletJournal,com.bulletjournal.controller,TaskControllerTest,testGetContentRevision,Magic Number
bulletJournal,com.bulletjournal.controller,TaskControllerTest,testGetContentRevision,Magic Number
