Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
bulletJournal,com.bulletjournal.clients,UserClientTests,0,0,1,1,24,1,0,0,-1.0,0,6
bulletJournal,com.bulletjournal.clients,MockUserAliasDaoJpa,0,0,1,1,5,1,0,0,-1.0,1,1
bulletJournal,com.bulletjournal.clients,ESClient,2,0,2,1,11,2,0,0,0.0,0,1
bulletJournal,com.bulletjournal.clients,DaemonServiceClient,11,0,7,5,92,14,0,0,0.0,2,3
bulletJournal,com.bulletjournal.clients,PickAvatarParams,2,0,6,6,22,6,0,0,0.3333333333333333,0,0
bulletJournal,com.bulletjournal.clients,GoogleMapsClient,2,0,3,3,27,6,0,0,0.0,0,1
bulletJournal,com.bulletjournal.clients,CreateTopicParams,3,0,8,8,30,8,0,0,0.25,0,0
bulletJournal,com.bulletjournal.clients,GoogleCalClient,6,0,4,3,39,7,0,0,0.0,2,3
bulletJournal,com.bulletjournal.clients,UserClient,14,3,13,7,163,23,0,0,0.0,54,7
bulletJournal,com.bulletjournal.clients,AWSS3Client,3,0,3,2,38,6,0,0,0.0,1,2
bulletJournal,com.bulletjournal.repository.utils,DaoHelperTest,0,0,3,3,33,3,0,0,-1.0,0,6
bulletJournal,com.bulletjournal.repository.utils,ProjectStub,0,0,1,1,5,1,0,0,-1.0,1,0
bulletJournal,com.bulletjournal.repository.utils,RecurrenceRuleTest,0,0,1,1,15,2,0,0,-1.0,0,0
bulletJournal,com.bulletjournal.repository.utils,GoogleCalendarDataStore,1,0,7,6,51,8,0,0,0.0,0,2
bulletJournal,com.bulletjournal.repository.utils,StringArrayType,1,1,4,3,15,4,0,0,1.0,1,2
bulletJournal,com.bulletjournal.repository.utils,LongArrayType,1,1,4,3,15,4,0,0,1.0,1,2
bulletJournal,com.bulletjournal.repository.utils,StringArrayTypeDescriptor,1,1,2,1,9,2,0,0,1.0,2,1
bulletJournal,com.bulletjournal.repository.utils,LongArrayTypeDescriptor,1,1,2,1,9,2,0,0,1.0,2,1
bulletJournal,com.bulletjournal.repository.utils,GoogleCalendarDataStoreFactory,1,0,2,1,9,2,0,0,0.0,0,1
bulletJournal,com.bulletjournal.repository.utils,DaoHelper,1,0,9,7,195,22,0,0,0.3333333333333333,11,5
bulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,0,0,4,3,145,7,0,0,-1.0,2,5
bulletJournal,com.bulletjournal.hierarchy,TaskRelationsProcessor,3,0,4,2,27,6,0,0,0.75,1,3
bulletJournal,com.bulletjournal.hierarchy,HierarchyItem,3,1,6,6,22,6,0,0,0.5,6,0
bulletJournal,com.bulletjournal.hierarchy,NoteRelationsProcessor,3,0,4,2,27,6,0,0,0.75,1,3
bulletJournal,com.bulletjournal.hierarchy,HierarchyProcessor,1,1,3,1,33,8,0,0,0.0,7,2
bulletJournal,com.bulletjournal.hierarchy,CategoryRelationsProcessor,3,0,4,2,27,6,0,0,0.75,2,3
bulletJournal,com.bulletjournal.hierarchy,ProjectRelationsProcessor,2,0,4,3,42,9,0,0,0.5,2,3
bulletJournal,com.bulletjournal.util,DeltaContentTest,0,0,1,1,8,1,0,0,-1.0,0,1
bulletJournal,com.bulletjournal.util,ContentDiffToolTest,1,0,1,1,24,1,0,0,0.0,0,1
bulletJournal,com.bulletjournal.util,DeltaConverterTest,1,0,2,2,18,2,0,0,1.0,0,2
bulletJournal,com.bulletjournal.util,MapWithExpiration,5,0,5,3,55,11,0,0,0.0,1,1
bulletJournal,com.bulletjournal.util,Value,2,0,1,0,8,1,0,0,0.0,1,0
bulletJournal,com.bulletjournal.util,StringUtil,1,1,1,1,9,2,0,0,0.0,8,0
bulletJournal,com.bulletjournal.util,BuJoRecurrenceRule,9,0,12,8,68,17,0,0,0.0,2,0
bulletJournal,com.bulletjournal.util,CustomThreadFactory,4,0,2,2,17,4,0,0,0.0,0,0
bulletJournal,com.bulletjournal.util,EmojiRuleProvider,4,1,0,0,31,0,0,0,-1.0,3,0
bulletJournal,com.bulletjournal.util,BookingUtil,3,0,6,5,113,19,0,0,0.5,4,4
bulletJournal,com.bulletjournal.util,DeltaContent,9,3,14,12,119,28,0,0,0.21428571428571427,5,1
bulletJournal,com.bulletjournal.util,DeltaConverter,1,0,2,1,27,3,0,0,0.0,2,2
bulletJournal,com.bulletjournal.util,WebToMobile,0,0,1,0,9,1,0,0,-1.0,0,1
bulletJournal,com.bulletjournal.util,EmojiConverter,0,0,1,1,15,2,0,0,-1.0,2,1
bulletJournal,com.bulletjournal.util,ContentDiffTool,2,0,3,2,22,5,0,0,0.6666666666666666,2,0
bulletJournal,com.bulletjournal.util,MathUtil,1,0,2,2,15,3,0,0,1.0,3,0
bulletJournal,com.bulletjournal.redis.models,EtagTypeTest,0,0,1,1,7,1,0,0,-1.0,0,0
